pr_id,author,created_at,merged_at,num_comments,num_review_comments,num_commits,accepted
5945,davidism,2026-03-08T23:11:47Z,2026-03-08T23:15:00Z,0,0,1,True
5928,davidism,2026-02-20T03:51:07Z,2026-02-20T04:00:34Z,0,0,1,True
5924,davidism,2026-02-19T03:42:42Z,2026-02-19T05:01:53Z,0,0,1,True
5917,davidism,2026-02-12T21:06:34Z,2026-02-12T21:07:51Z,1,0,1,True
5903,marcows,2026-01-27T08:24:02Z,2026-01-28T15:43:01Z,2,0,1,True
5900,davidism,2026-01-25T18:34:37Z,2026-01-25T18:35:12Z,0,0,1,True
5899,davidism,2026-01-25T03:51:26Z,2026-01-25T03:53:12Z,0,0,1,True
5898,davidism,2026-01-25T00:51:47Z,2026-01-25T01:18:35Z,0,0,1,True
5865,marcows,2025-12-17T15:22:57Z,2026-01-25T03:04:07Z,0,0,1,True
5844,cclauss,2025-11-05T17:14:08Z,2026-01-25T03:00:24Z,0,0,2,True
5829,hynek,2025-10-14T07:43:09Z,2025-10-14T20:26:26Z,0,0,2,True
5827,adityasah104,2025-10-09T07:06:09Z,2026-01-25T02:46:57Z,5,0,2,True
5818,davidism,2025-09-20T00:47:44Z,2025-11-17T16:49:53Z,0,0,1,True
5812,davidism,2025-09-12T22:45:00Z,2025-09-19T23:45:27Z,3,0,1,True
5808,subhajitsaha01,2025-09-06T16:33:44Z,2026-01-25T02:25:31Z,2,0,1,True
5800,davidism,2025-08-19T20:42:29Z,2025-08-19T21:03:43Z,0,0,1,True
5799,davidism,2025-08-19T15:22:33Z,2025-08-19T15:23:51Z,0,0,1,True
5798,davidism,2025-08-18T18:44:00Z,2025-08-18T18:44:57Z,0,0,1,True
5797,davidism,2025-08-18T16:48:05Z,2025-08-18T16:56:39Z,0,0,1,True
5795,GrantBirki,2025-08-07T04:47:00Z,2025-08-19T20:56:49Z,2,0,1,True
5777,tvuotila,2025-07-16T10:07:40Z,2025-08-18T17:26:12Z,2,0,1,True
5757,davidism,2025-06-09T21:32:15Z,2025-06-09T21:33:26Z,0,0,1,True
5754,davidism,2025-06-08T16:44:14Z,2025-06-08T16:47:45Z,0,0,1,True
5742,Badhreesh,2025-05-21T18:37:43Z,2025-08-18T17:20:07Z,4,0,1,True
5737,strugee,2025-05-18T15:13:11Z,2025-05-20T16:30:06Z,13,0,1,True
5736,kadai0308,2025-05-17T04:29:30Z,2025-08-19T19:36:01Z,5,0,2,True
5731,davidism,2025-05-13T15:34:34Z,2025-05-13T15:35:41Z,0,0,1,True
5730,davidism,2025-05-13T14:51:56Z,2025-05-13T15:01:42Z,1,0,1,True
5727,davidism,2025-05-12T00:59:11Z,2025-05-12T01:04:35Z,0,0,1,True
5723,abhiramk6,2025-05-01T15:48:38Z,2025-08-18T17:08:08Z,0,0,1,True
5702,davidism,2025-03-29T22:43:56Z,2025-03-29T22:45:11Z,0,0,1,True
5701,davidism,2025-03-29T22:31:22Z,2025-03-29T22:32:30Z,0,0,1,True
5700,davidism,2025-03-29T22:26:58Z,2025-03-29T22:28:27Z,0,0,1,True
5695,s-hamann,2025-03-24T09:49:53Z,2025-03-29T22:17:48Z,0,0,1,True
5674,dunkmann00,2025-01-30T03:42:21Z,2025-03-29T22:15:04Z,0,0,1,True
5671,kotvkvante,2025-01-25T22:31:09Z,2025-03-29T22:10:56Z,0,0,1,True
5659,CoolCat467,2024-12-23T23:00:56Z,2025-03-30T20:15:54Z,2,0,1,True
5650,zhuangzhuang,2024-11-27T10:14:57Z,2025-03-29T21:49:06Z,0,0,1,True
5649,davidism,2024-11-24T00:04:54Z,2024-11-24T00:06:37Z,0,0,1,True
5648,davidism,2024-11-23T23:57:37Z,2024-11-23T23:59:30Z,0,0,1,True
5647,kurtatter,2024-11-23T00:37:56Z,2024-11-24T01:52:56Z,6,0,1,True
5640,davidism,2024-11-13T17:25:38Z,2024-11-13T18:27:38Z,0,0,1,True
5638,davidism,2024-11-13T16:23:57Z,2024-11-13T16:27:13Z,0,0,1,True
5637,davidism,2024-11-13T04:56:43Z,2024-11-13T05:03:23Z,0,0,1,True
5634,davidism,2024-11-11T04:18:14Z,2024-11-12T18:13:39Z,2,0,1,True
